Topic,Question,a,b,c,d,Correct Answer,Difficulty,Cognitive Level,Subject
Interfaces and Abstract Classes,Which of the following is not a feature of interfaces in Java?,An interface can contain constants, An interface can only contain non-abstract methods, A class can implement multiple interfaces, An interface can be extended by another interface,b,medium,understanding,OOPS
Interfaces and Abstract Classes,What is the purpose of an abstract class that implements an interface?,To provide a default implementation for a set of methods defined in the interface, To provide an implementation for all methods defined in the interface, To declare a set of related methods that a class must implement, To define a set of constants that a class must use,a,hard,applying,OOPS
Overloading and Overriding,Which of the following is a compile-time polymorphism?,Overloading,Overriding,Both A and B,None of the above,a,easy,remembering,OOPS
Overloading and Overriding,Which of the following is not true about overloading?,Two or more methods can have the same name in a class,Overloading can be performed on constructors,Return type of overloaded method can be different,Parameters of overloaded method should be different,c,medium,understanding,OOPS
Overloading and Overriding,Which of the following is not true about overriding?,Two or more methods can have the same name in a class,Return type of overriding method should be same as the overridden method,Parameters of overriding method should be same as the overridden method,The access level of the overriding method can be more restrictive than the overridden method,a,medium,understanding,OOPS
Overloading and Overriding,Which of the following is a run-time polymorphism?,Overloading,Overriding,Both A and B,None of the above,b,easy,remembering,OOPS
Overloading and Overriding,Which of the following is true about method overloading?,Overloading increases the readability of the program,Overloading can't be performed on constructors,The overloaded method can have different return types,The overloaded method must have the same name and same parameters,a,medium,applying,OOPS
Overloading and Overriding,Which of the following is true about method overriding?,Overriding is used for runtime polymorphism,Overriding is used for code reuse,Overriding can't be performed on private methods,The overridden method must have the same name parameters and return type,d,medium,applying,OOPS
Overloading and Overriding,Which of the following is not an example of overloading?,Different number of parameters,Same number of parameters with different data types,Same number of parameters with same data types but different sequence,Same number of parameters with same data types and same sequence,d,easy,understanding,OOPS
Overloading and Overriding,Which of the following is not an example of overriding?,A subclass providing its own implementation for a method defined in its superclass,The access level of the overriding method is less restrictive than the overridden method,The overridden method is marked as final in the superclass,The name of the overriding method is the same as the overridden method,c,hard,analyzing,OOPS
Overloading and Overriding,Which of the following is used for compile-time polymorphism?,Overloading,Overriding,Both A and B,None of the above,a,easy,remembering,OOPS
Overloading and Overriding,Which of the following is used for runtime polymorphism?,Overloading,Overriding,Both A and B,None of the above,b,easy,remembering,OOPS
Exception Handling,What is an exception in Java?,A runtime error,A compile-time error,A logical error,An execution error,a,easy,remembering,OOPS
Exception Handling,Which keyword is used to handle an exception in Java?,try,catch,finally,throw,b,medium,understanding,OOPS
Exception Handling,What is the purpose of the finally block in Java exception handling?,To handle an exception,To throw an exception,To execute a block of code,To catch an exception,c,hard,applying,OOPS
Exception Handling,What is the difference between checked and unchecked exceptions?,Checked exceptions must be caught or declared,Unchecked exceptions need not be caught or declared,Both A and B are correct,None of the above,d,hard,analyzing,OOPS
Exception Handling,What happens if an exception is not caught in Java?,The program will compile but will fail at runtime,The program will fail to compile,The program will execute without any errors,The program will stop abruptly without completing its execution,d,hard,analyzing,OOPS
Exception Handling,What is the purpose of the throws keyword in Java exception handling?,To declare an exception in a method signature,To catch an exception in a method,To handle an exception in a method,To define an exception class,a,hard,applying,OOPS
Exception Handling,Which exception is thrown when a method tries to access an object that is null?,NullPointerException,NumberFormatException,ArrayIndexOutOfBoundsException,ArithmeticException,a,medium,understanding,OOPS
Exception Handling,Which method of the Exception class is used to print the description of an exception?,printStackTrace(),getMessage(),getCause(),toString(),b,medium,applying,OOPS
Exception Handling,What is the purpose of the throw keyword in Java exception handling?,To throw an exception manually,To catch an exception manually,To handle an exception manually,To define an exception class,a,hard,applying,OOPS
Exception Handling,What is the purpose of the try block in Java exception handling?,To write the code that can cause an exception,To catch and handle the exception,To execute a block of code,To declare an exception,a,medium,understanding,OOPS
Design Patterns,Which of the following is not a category of design patterns?,Creational patterns,Structural patterns,Architectural patterns,Behavioral patterns,c,easy,remembering,OOPS
Design Patterns,Which of the following pattern deals with creating objects based on a template and deferring some of the steps to its subclasses?,Abstract Factory,Builder,Template Method,Prototype,c,medium,understanding,OOPS
Design Patterns,Which of the following pattern is used to manage a group of related objects?,Factory Method,Iterator,Composite,Singleton,c,medium,applying,OOPS
Design Patterns,Which of the following pattern provides a way to access the elements of an object without exposing its underlying representation?,Adapter,Facade,Iterator,Decorator,c,hard,analyzing,OOPS
Design Patterns,Which of the following pattern is used to alter the behavior of an object at runtime without changing its class?,Proxy,Chain of Responsibility,Command,Interpreter,a,hard,analyzing,OOPS
Design Patterns,Which of the following pattern provides a way to encapsulate a request as an object thereby letting you parameterize clients with different requests queue or log requests and support undoable operations?,Command,Iterator,Observer,Strategy,a,hard,analyzing,OOPS
Design Patterns,Which of the following pattern allows an object to alter its behavior when its internal state changes?,Visitor,State,Chain of Responsibility,Interpreter,b,hard,analyzing,OOPS
Design Patterns,Which of the following pattern is used to create objects in a system independent of how they are created composed and represented?,Abstract Factory,Factory Method,Builder,Singleton,a,medium,understanding,OOPS
Design Patterns,Which of the following pattern is used when we want to provide a single instance of a class to the entire system?,Singleton,Abstract Factory,Factory Method,Prototype,a,medium,understanding,OOPS
Design Patterns,Which of the following pattern provides a way to define a family of algorithms encapsulate each one as an object and make them interchangeable?,Strategy,State,Visitor,Interpreter,a,hard,analyzing,OOPS
Testing and Debugging,What is the purpose of testing in software development?,To fix bugs,To create bugs,To waste time,To confuse users,a,easy,remembering,OOPS
Testing and Debugging,Which of the following is not a type of software testing?,Unit testing,System testing,Integration testing,Keyboard testing,d,easy,remembering,OOPS
Testing and Debugging,Which of the following is used to identify defects in software before it is released?,Debugging,Testing,Deployment,Refactoring,b,easy,remembering,OOPS
Testing and Debugging,Which of the following is not a software testing technique?,Black-box testing,White-box testing,Green-box testing,Yellow-box testing,d,medium,understanding,OOPS
Testing and Debugging,Which of the following is not a phase of software testing?,Test planning,Test execution,Test development,Test reporting,c,medium,understanding,OOPS
Testing and Debugging,Which of the following is a type of black-box testing?,Boundary value analysis,Statement coverage,Branch coverage,Path coverage,a,medium,applying,OOPS
Testing and Debugging,Which of the following is not a software bug?,Logic error,Syntax error,Run-time error,Debugging error,d,easy,remembering,OOPS
Testing and Debugging,What is the main objective of debugging?,To fix errors in software,To create errors in software,To waste time,To confuse users,a,easy,remembering,OOPS
Testing and Debugging,Which of the following is not a debugging technique?,Binary search,Print statements,Breakpoints,Step into,a,medium,understanding,OOPS
Testing and Debugging,What is the process of removing errors in software called?,Debugging,Testing,Deployment,Refactoring,a,easy,remembering,OOPS
Advanced Topics in OOP,What is the difference between composition and aggregation in object-oriented programming?,Composition is a strong form of aggregation where objects have a strong ownership of their contained objects,Aggregation is a strong form of composition where objects have a strong ownership of their contained objects,Composition is a weak form of aggregation where objects do not have a strong ownership of their contained objects,Aggregation is a weak form of composition where objects do not have a strong ownership of their contained objects,a,medium,understanding,OOPS
Advanced Topics in OOP,What is a design pattern in software engineering?,A general reusable solution to a commonly occurring problem within a given context in software design,An architectural blueprint for a software system,An algorithmic approach to solve complex problems,An efficient way to store and retrieve data in a database,a,hard,applying,OOPS
Advanced Topics in OOP,What is the purpose of the SOLID principles in OOP?,To increase code readability and maintainability,To decrease code complexity,To decrease code coupling and increase cohesion,To promote code reusability and scalability,c,medium,understanding,OOPS
Advanced Topics in OOP,What is the difference between composition and inheritance in OOP?,Composition allows for better code flexibility and is preferred over inheritance,Inheritance allows for better code flexibility and is preferred over composition,Composition creates a has-a relationship between objects while inheritance creates an is-a relationship,Inheritance creates a has-a relationship between objects while composition creates an is-a relationship,c,hard,applying,OOPS
Advanced Topics in OOP,What is the purpose of the Factory Method design pattern in OOP?,To create objects without exposing the creation logic,To create objects with a single constructor call,To create objects with a private constructor,To create objects with a static method,a,hard,analyzing,OOPS
Advanced Topics in OOP,What is the purpose of the Singleton design pattern in OOP?,To ensure that only one instance of a class is created,To ensure that a class cannot be instantiated,To ensure that a class can only be instantiated by a factory,To ensure that a class cannot be inherited,a,hard,analyzing,OOPS
Advanced Topics in OOP,What is the purpose of the Observer design pattern in OOP?,To establish a one-to-many dependency between objects,To allow objects to be notified when another object's state changes,To allow objects to be notified when a method is called,To allow objects to be notified when a thread is blocked,a,hard,applying,OOPS
Advanced Topics in OOP,What is the purpose of the Template Method design pattern in OOP?,To define the skeleton of an algorithm in a base class,To define a single interface for a set of interfaces,To define a family of algorithms,To define a hierarchy of interfaces,a,hard,applying,OOPS
Advanced Topics in OOP,What is the difference between a checked and an unchecked exception in Java?,A checked exception must be handled or declared while an unchecked exception does not,An unchecked exception must be handled or declared while a checked exception does not,A checked exception is thrown by the programmer while an unchecked exception is thrown by the JVM,A checked exception is a runtime exception while an unchecked exception is a compile-time exception,a,medium,applying,OOPS
Advanced Topics in OOP,What is the purpose of test-driven development (TDD)?,To write automated tests before writing code,To write automated tests after writing code,To manually test code after writing it,To skip testing altogether,a,medium,applying,OOPS
OOP in Practice,What is the main benefit of using object-oriented programming in practice?,Code reusability,Code maintainability,Code readability,Code efficiency,a,easy,remembering,OOPS
OOP in Practice,Which of the following is a common design pattern used in OOP for creating objects?,Builder pattern,Observer pattern,Adapter pattern,Singleton pattern,d,medium,understanding,OOPS
OOP in Practice,Which of the following is not a principle of SOLID design in OOP?,Single responsibility principle,Open-closed principle,Liskov substitution principle,Abstract factory principle,d,hard,applying,OOPS
OOP in Practice,What is the purpose of the factory method pattern in OOP?,To create objects without specifying the exact class of object that will be created,To create objects that are interchangeable with other objects of the same type,To create objects that have only one instance in the program,To create objects that have a predefined set of properties,a,medium,understanding,OOPS
OOP in Practice,What is the purpose of the dependency inversion principle in OOP?,To ensure that high-level modules depend on low-level modules,To ensure that low-level modules depend on high-level modules,To ensure that the design is open for extension but closed for modification,To ensure that classes have only one responsibility,b,hard,applying,OOPS
OOP in Practice,What is the purpose of the observer pattern in OOP?,To ensure that only one instance of a class can be created,To ensure that objects can be created without specifying their class,To notify an object of a change in the state of another object,To provide a way to access elements of an aggregate object sequentially,c,medium,understanding,OOPS
OOP in Practice,What is the purpose of the strategy pattern in OOP?,To provide a way to create objects without specifying their class,To encapsulate a family of algorithms and make them interchangeable,To ensure that a class has only one instance in the program,To provide a way to access elements of an aggregate object sequentially,b,hard,applying,OOPS
OOP in Practice,Which of the following is not a principle of defensive programming in OOP?,Check for null references,Validate user input,Use recursion for complex tasks,Handle errors and exceptions gracefully,c,medium,understanding,OOPS
OOP in Practice,What is the purpose of the decorator pattern in OOP?,To add new functionality to an existing object without altering its structure,To create objects that have a predefined set of properties,To provide a way to access elements of an aggregate object sequentially,To encapsulate a family of algorithms and make them interchangeable,a,hard,applying,OOPS
OOP in Practice,Which of the following is not a principle of the agile development process in OOP?,Individuals and interactions over processes and tools,Working software over comprehensive documentation,Customer collaboration over contract negotiation,Following a plan over responding to change,d,medium,understanding,OOPS
